ContactID,Fname,Lname,CellPhone,Email,Address,Zip,City,JobTitle,SSN,HireDate,CustomerSince,PersonType
3023,Dina,Moses,9754195036,iyost@dietrich.net,7404 Aviary Court,49268,Palmyra,Not Employee,Not Employee,null,12/11/19,CU
3024,Ronda,Fields,1020106384,smurphy@gmail.com,1948 Lake Nokomis Parkway,49743,West Hawks,Not Employee,Not Employee,null,03/17/21,CU
3025,Xavier,Cooper,4913704241,hodkiewicz.kenny@considine.biz,1100 Laguna Boulevard,48061,Port Huron,Not Employee,Not Employee,null,05/31/19,CU
3026,Fermin,Woodard,3409975834,valerie.beahan@hotmail.com,1228 Pecan Hollow Drive,48611,Auburn Hills,Not Employee,Not Employee,null,03/16/18,CU
3027,Kip,Hobbs,7343715449,monahan.letitia@yahoo.com,6779 Botany Circle,48027,Goodells,Not Employee,Not Employee,null,05/16/19,CU
3028,Lizzie,Salas,3975407099,winona40@gmail.com,6887 Liberty Road,49095,Vandalia,Not Employee,Not Employee,null,08/21/19,CU
3029,May,Ray,6029112167,robbie.boyle@metz.net,2644 Minnies Lane,48911,Lansing,Not Employee,Not Employee,null,09/16/21,CU
3030,Cary,Tapia,6360336831,devyn.jacobi@gmail.com,9795 Winthrop Court,48449,Lennon,Not Employee,Not Employee,null,08/02/20,CU
3031,Suzette,Leach,1189585022,marilie23@gmail.com,6596 Oakmont Road,49611,Alba,Not Employee,Not Employee,null,04/02/22,CU
3032,Jeanie,Christian,2300488826,benton98@yahoo.com,2273 Maison Place,49833, Little Lake,Not Employee,Not Employee,null,04/07/21,CU
3033,Marsha,Solomon,3013145491,hills.montana@schimmel.org,3278 Bernheim Lane,48401,Applegate,Not Employee,Not Employee,null,06/01/19,CU
3034,Asa,Alvarado,4750732133,darryl17@marvin.org,1969 Lower Market Street,49127,Stevensville,Not Employee,Not Employee,null,05/13/19,CU
3035,Jake,Allison,7237150773,cassandre.towne@halvorson.com,1404 Church Street NW,49705,Afton,Not Employee,Not Employee,null,05/02/18,CU
3036,Rufus,Parker,3613805275,hessel.javonte@hotmail.com,3840 Arbor Ridge Drive,48721,Black River,Not Employee,Not Employee,null,04/09/20,CU
